Relative_dose_[%],Dose_[cGy],Ratio_of_Total_Structure_Volume_[%]
0.0,0.0,100.0
0.1,5.0,100.0
0.2,10.0,100.0
0.3,15.0,100.0
0.4,20.0,100.0
0.5,25.0,100.0
0.6,30.0,100.0
0.7,35.0,100.0
0.8,40.0,100.0
0.9,45.0,100.0
1.0,50.0,100.0
1.1,55.0,100.0
1.2,60.0,100.0
1.3,65.0,100.0
1.4,70.0,100.0
1.5,75.0,100.0
1.6,80.0,100.0
1.7,85.0,100.0
1.8,90.0,100.0
1.9,95.0,100.0
2.0,100.0,100.0
2.1,105.0,100.0
2.2,110.0,100.0
2.3,115.0,100.0
2.4,120.0,100.0
2.5,125.0,100.0
2.6,130.0,100.0
2.7,135.0,100.0
2.8,140.0,100.0
2.9,145.0,100.0
3.0,150.0,100.0
3.1,155.0,100.0
3.2,160.0,100.0
3.3,165.0,100.0
3.4,170.0,100.0
3.5,175.0,100.0
3.6,180.0,100.0
3.7,185.0,100.0
3.8,190.0,100.0
3.9,195.0,99.9823
4.0,200.0,99.8934
4.1,205.0,99.7393
4.2,210.0,99.5364
4.3,215.0,99.2925
4.4,220.0,99.01
4.5,225.0,98.695
4.6,230.0,98.3498
4.7,235.0,97.9801
4.8,240.0,97.595
4.9,245.0,97.2002
5.0,250.0,96.7958
5.1,255.0,96.3863
5.2,260.0,95.9749
5.3,265.0,95.564
5.4,270.0,95.1527
5.5,275.0,94.744
5.6,280.0,94.3394
5.7,285.0,93.9362
5.8,290.0,93.5335
5.9,295.0,93.1368
6.0,300.0,92.7486
6.1,305.0,92.37
6.2,310.0,92.0015
6.3,315.0,91.6384
6.4,320.0,91.2836
6.5,325.0,90.9372
6.6,330.0,90.5927
6.7,335.0,90.2599
6.8,340.0,89.9279
6.9,345.0,89.6077
7.0,350.0,89.2864
7.1,355.0,88.9881
7.2,360.0,88.6764
7.3,365.0,88.3772
7.4,370.0,88.0854
7.5,375.0,87.7949
7.6,380.0,87.5024
7.7,385.0,87.2285
7.8,390.0,86.9466
7.9,395.0,86.6676
8.0,400.0,86.3989
8.1,405.0,86.1229
8.2,410.0,85.852
8.3,415.0,85.591
8.4,420.0,85.3225
8.5,425.0,85.0651
8.6,430.0,84.813
8.7,435.0,84.5518
8.8,440.0,84.301
8.9,445.0,84.0561
9.0,450.0,83.7956
9.1,455.0,83.5514
9.2,460.0,83.3044
9.3,465.0,83.0411
9.4,470.0,82.799
9.5,475.0,82.5522
9.6,480.0,82.2953
9.7,485.0,82.0367
9.8,490.0,81.7872
9.9,495.0,81.5141
10.0,500.0,81.2374
10.1,505.0,80.9411
10.2,510.0,80.6236
10.3,515.0,80.2814
10.4,520.0,79.9171
10.5,525.0,79.5318
10.6,530.0,79.1056
10.7,535.0,78.6349
10.8,540.0,78.1455
10.9,545.0,77.6487
11.0,550.0,77.1375
11.1,555.0,76.6241
11.2,560.0,76.0977
11.3,565.0,75.5563
11.4,570.0,75.014
11.5,575.0,74.4565
11.6,580.0,73.8909
11.7,585.0,73.3192
11.8,590.0,72.7368
11.9,595.0,72.1627
12.0,600.0,71.5961
12.1,605.0,71.0254
12.2,610.0,70.4608
12.3,615.0,69.9065
12.4,620.0,69.3591
12.5,625.0,68.8147
12.6,630.0,68.2724
12.7,635.0,67.7447
12.8,640.0,67.2236
12.9,645.0,66.7143
13.0,650.0,66.1995
13.1,655.0,65.6987
13.2,660.0,65.215
13.3,665.0,64.7329
13.4,670.0,64.2653
13.5,675.0,63.8014
13.6,680.0,63.3557
13.7,685.0,62.9072
13.8,690.0,62.4708
13.9,695.0,62.0475
14.0,700.0,61.6284
14.1,705.0,61.2106
14.2,710.0,60.8034
14.3,715.0,60.4059
14.4,720.0,60.0204
14.5,725.0,59.6407
14.6,730.0,59.2666
14.7,735.0,58.9118
14.8,740.0,58.561
14.9,745.0,58.2227
15.0,750.0,57.896
15.1,755.0,57.5749
15.2,760.0,57.2624
15.3,765.0,56.9648
15.4,770.0,56.6678
15.5,775.0,56.3864
15.6,780.0,56.1108
15.7,785.0,55.839
15.8,790.0,55.5773
15.9,795.0,55.318
16.0,800.0,55.0727
16.1,805.0,54.826
16.2,810.0,54.5858
16.3,815.0,54.3573
16.4,820.0,54.131
16.5,825.0,53.9085
16.6,830.0,53.6957
16.7,835.0,53.491
16.8,840.0,53.2892
16.9,845.0,53.0943
17.0,850.0,52.9018
17.1,855.0,52.7161
17.2,860.0,52.5389
17.3,865.0,52.3603
17.4,870.0,52.1863
17.5,875.0,52.0224
17.6,880.0,51.8633
17.7,885.0,51.7047
17.8,890.0,51.5504
17.9,895.0,51.4014
18.0,900.0,51.2534
18.1,905.0,51.109
18.2,910.0,50.971
18.3,915.0,50.8369
18.4,920.0,50.7065
18.5,925.0,50.576
18.6,930.0,50.4456
18.7,935.0,50.3198
18.8,940.0,50.1984
18.9,945.0,50.0791
19.0,950.0,49.9638
19.1,955.0,49.8503
19.2,960.0,49.7383
19.3,965.0,49.6293
19.4,970.0,49.5242
19.5,975.0,49.4209
19.6,980.0,49.3187
19.7,985.0,49.2206
19.8,990.0,49.1232
19.9,995.0,49.0291
20.0,1000.0,48.9359
20.1,1005.0,48.8464
20.2,1010.0,48.7583
20.3,1015.0,48.6718
20.4,1020.0,48.5876
20.5,1025.0,48.5062
20.6,1030.0,48.4259
20.7,1035.0,48.3469
20.8,1040.0,48.2684
20.9,1045.0,48.1913
21.0,1050.0,48.1161
21.1,1055.0,48.0432
21.2,1060.0,47.9717
21.3,1065.0,47.9014
21.4,1070.0,47.8322
21.5,1075.0,47.764
21.6,1080.0,47.6973
21.7,1085.0,47.632
21.8,1090.0,47.568
21.9,1095.0,47.5056
22.0,1100.0,47.4442
22.1,1105.0,47.3842
22.2,1110.0,47.3257
22.3,1115.0,47.2681
22.4,1120.0,47.2116
22.5,1125.0,47.1561
22.6,1130.0,47.1016
22.7,1135.0,47.0484
22.8,1140.0,46.9968
22.9,1145.0,46.9458
