Relative_dose_[%],Dose_[cGy],Ratio_of_Total_Structure_Volume_[%]
0.0,0.0,100.0
0.1,5.0,100.0
0.2,10.0,100.0
0.3,15.0,100.0
0.4,20.0,100.0
0.5,25.0,100.0
0.6,30.0,100.0
0.7,35.0,100.0
0.8,40.0,100.0
0.9,45.0,100.0
1.0,50.0,100.0
1.1,55.0,100.0
1.2,60.0,100.0
1.3,65.0,100.0
1.4,70.0,100.0
1.5,75.0,100.0
1.6,80.0,100.0
1.7,85.0,100.0
1.8,90.0,100.0
1.9,95.0,100.0
2.0,100.0,100.0
2.1,105.0,100.0
2.2,110.0,100.0
2.3,115.0,100.0
2.4,120.0,100.0
2.5,125.0,100.0
2.6,130.0,100.0
2.7,135.0,100.0
2.8,140.0,100.0
2.9,145.0,100.0
3.0,150.0,100.0
3.1,155.0,100.0
3.2,160.0,100.0
3.3,165.0,100.0
3.4,170.0,100.0
3.5,175.0,100.0
3.6,180.0,99.9886
3.7,185.0,99.9255
3.8,190.0,99.8006
3.9,195.0,99.6053
4.0,200.0,99.3437
4.1,205.0,99.0251
4.2,210.0,98.6572
4.3,215.0,98.2395
4.4,220.0,97.7746
4.5,225.0,97.2726
4.6,230.0,96.7378
4.7,235.0,96.186
4.8,240.0,95.6127
4.9,245.0,95.0273
5.0,250.0,94.431
5.1,255.0,93.83
5.2,260.0,93.2275
5.3,265.0,92.6367
5.4,270.0,92.061
5.5,275.0,91.501
5.6,280.0,90.9639
5.7,285.0,90.4477
5.8,290.0,89.946
5.9,295.0,89.4614
6.0,300.0,88.9917
6.1,305.0,88.5349
6.2,310.0,88.0917
6.3,315.0,87.6557
6.4,320.0,87.2273
6.5,325.0,86.8075
6.6,330.0,86.3914
6.7,335.0,85.9838
6.8,340.0,85.5802
6.9,345.0,85.1757
7.0,350.0,84.7712
7.1,355.0,84.3692
7.2,360.0,83.9646
7.3,365.0,83.5579
7.4,370.0,83.1514
7.5,375.0,82.743
7.6,380.0,82.3284
7.7,385.0,81.9128
7.8,390.0,81.4978
7.9,395.0,81.0809
8.0,400.0,80.6598
8.1,405.0,80.2361
8.2,410.0,79.8144
8.3,415.0,79.3888
8.4,420.0,78.9629
8.5,425.0,78.529
8.6,430.0,78.0898
8.7,435.0,77.6496
8.8,440.0,77.1986
8.9,445.0,76.7359
9.0,450.0,76.2657
9.1,455.0,75.789
9.2,460.0,75.2938
9.3,465.0,74.7945
9.4,470.0,74.2597
9.5,475.0,73.7139
9.6,480.0,73.1676
9.7,485.0,72.6036
9.8,490.0,72.0401
9.9,495.0,71.4507
10.0,500.0,70.8707
10.1,505.0,70.29
10.2,510.0,69.7049
10.3,515.0,69.108
10.4,520.0,68.4954
10.5,525.0,67.8981
10.6,530.0,67.3015
10.7,535.0,66.7015
10.8,540.0,66.1033
10.9,545.0,65.4982
11.0,550.0,64.8863
11.1,555.0,64.2686
11.2,560.0,63.6565
11.3,565.0,63.0323
11.4,570.0,62.4321
11.5,575.0,61.8434
11.6,580.0,61.2528
11.7,585.0,60.6721
11.8,590.0,60.1
11.9,595.0,59.5354
12.0,600.0,58.9846
12.1,605.0,58.4305
12.2,610.0,57.8618
12.3,615.0,57.3056
12.4,620.0,56.7617
12.5,625.0,56.2183
12.6,630.0,55.691
12.7,635.0,55.1605
12.8,640.0,54.6263
12.9,645.0,54.0913
13.0,650.0,53.5775
13.1,655.0,53.074
13.2,660.0,52.5822
13.3,665.0,52.087
13.4,670.0,51.6109
13.5,675.0,51.1329
13.6,680.0,50.6642
13.7,685.0,50.2078
13.8,690.0,49.7508
13.9,695.0,49.3151
14.0,700.0,48.872
14.1,705.0,48.4419
14.2,710.0,48.0234
14.3,715.0,47.6075
14.4,720.0,47.2093
14.5,725.0,46.8056
14.6,730.0,46.436
14.7,735.0,46.0764
14.8,740.0,45.7226
14.9,745.0,45.3783
15.0,750.0,45.0403
15.1,755.0,44.7097
15.2,760.0,44.3895
15.3,765.0,44.0806
15.4,770.0,43.777
15.5,775.0,43.4875
15.6,780.0,43.2059
15.7,785.0,42.9326
15.8,790.0,42.6627
15.9,795.0,42.3991
16.0,800.0,42.1392
16.1,805.0,41.887
16.2,810.0,41.6485
16.3,815.0,41.4187
16.4,820.0,41.1976
16.5,825.0,40.9801
16.6,830.0,40.7661
16.7,835.0,40.5523
16.8,840.0,40.3456
16.9,845.0,40.1454
17.0,850.0,39.9481
17.1,855.0,39.7457
17.2,860.0,39.5517
17.3,865.0,39.3549
17.4,870.0,39.1632
17.5,875.0,38.9768
17.6,880.0,38.7828
17.7,885.0,38.6
17.8,890.0,38.4181
17.9,895.0,38.2325
18.0,900.0,38.0594
18.1,905.0,37.8896
18.2,910.0,37.7167
18.3,915.0,37.549
18.4,920.0,37.3824
18.5,925.0,37.2212
18.6,930.0,37.057
18.7,935.0,36.8975
18.8,940.0,36.735
18.9,945.0,36.5718
19.0,950.0,36.4159
19.1,955.0,36.2547
19.2,960.0,36.0938
19.3,965.0,35.9362
19.4,970.0,35.7846
19.5,975.0,35.6289
19.6,980.0,35.4774
19.7,985.0,35.3377
19.8,990.0,35.1886
19.9,995.0,35.0467
20.0,1000.0,34.9037
20.1,1005.0,34.76
20.2,1010.0,34.6161
20.3,1015.0,34.4759
20.4,1020.0,34.3333
20.5,1025.0,34.1928
20.6,1030.0,34.0484
20.7,1035.0,33.9067
20.8,1040.0,33.7681
20.9,1045.0,33.633
21.0,1050.0,33.496
21.1,1055.0,33.3541
21.2,1060.0,33.2209
21.3,1065.0,33.0853
21.4,1070.0,32.9549
21.5,1075.0,32.8301
21.6,1080.0,32.7036
21.7,1085.0,32.5712
21.8,1090.0,32.4406
21.9,1095.0,32.3136
22.0,1100.0,32.1914
22.1,1105.0,32.0625
22.2,1110.0,31.9308
22.3,1115.0,31.8025
22.4,1120.0,31.676
22.5,1125.0,31.5549
22.6,1130.0,31.431
22.7,1135.0,31.307
22.8,1140.0,31.1882
22.9,1145.0,31.0713
